x1,x2,y1,y2,m1,m2,m3,m4,avg_m,luck1,luck2,c1,c2,gender,age 
0,0,3,3,3,4,5,5,4.25,1,6,7,2,1,20
0,0,1,1,1,1,1,1,1,2,7,7,1,1,20
0,0,4,2,4,4,4,4,4,1,6,6,2,2,21
0,0,1,1,3,3,3,7,4,4,5,3,3,1,22
0,0,5,6,1,1,1,1,1,1,1,2,2,1,20
0,0,5,6,5,5,5,5,5,2,4,4,2,1,21
0,0,1,1,1,1,1,1,1,1,4,7,1,2,19
0,0,6,6,1,1,1,2,1.25,1,1,1,4,1,21
0,0,2,1,3,6,5,6,5,4,6,6,2,2,20
0,0,6,7,4,5,4,5,4.5,3,1,5,4,2,22
0,0,1,2,1,1,1,1,1,1,5,5,1,2,20
0,0,6,3,6,7,7,7,6.75,7,7,6,2,2,22
0,0,4,4,3,5,2,5,3.75,5,6,4,6,1,24
0,0,1,2,1,1,1,1,1,1,4,7,1,2,21
0,0,2,2,6,6,5,6,5.75,2,7,7,1,1,20
0,0,2,2,2,2,2,2,2,1,6,7,1,2,21
0,0,2,1,2,2,2,2,2,3,6,6,1,2,20
0,0,1,1,5,1,1,1,2,4,2,7,1,1,22
0,0,2,2,1,2,1,2,1.5,4,7,7,2,2,20
0,0,2,3,1,1,1,1,1,3,7,6,1,1,21
0,0,1,1,1,1,1,1,1,1,7,1,1,1,20
0,0,2,5,5,5,5,5,5,5,5,3,5,1,21
0,0,2,1,2,2,1,2,1.75,2,2,3,6,1,19
0,0,3,1,4,4,3,5,4,5,4,4,3,1,22
0,0,1,2,3,3,2,2,2.5,3,6,2,4,2,21
0,0,3,2,3,6,4,6,4.75,1,1,1,1,2,21
0,0,3,4,1,1,1,1,1,2,2,7,2,2,19
0,0,3,4,3,3,3,3,3,4,5,2,2,1,19
0,0,1,1,1,1,1,1,1,1,7,7,1,2,20
0,0,1,1,1,2,2,2,1.75,1,4,5,3,1,20
0,0,2,4,3,4,6,3,4,3,3,5,5,2,21
0,0,3,1,2,2,2,2,2,5,7,7,1,1,22
0,0,5,3,4,4,4,4,4,3,4,2,5,2,21
0,0,6,7,4,4,5,4,4.25,5,6,2,4,1,20
0,0,1,1,5,5,2,1,3.25,1,6,7,1,1,21
0,0,1,1,2,2,2,2,2,2,3,7,1,2,20
0,0,1,1,5,3,3,3,3.5,5,7,7,1,2,21
0,0,4,1,4,6,3,4,4.25,2,7,7,2,2,21
0,0,2,1,4,1,1,1,1.75,1,7,7,1,1,20
0,0,1,5,3,3,3,3,3,4,6,4,3,2,21
0,0,2,2,5,4,5,5,4.75,5,5,4,3,1,28
0,0,3,5,3,3,3,3,3,3,6,5,2,2,20
0,0,3,3,3,5,5,5,4.5,5,6,5,3,1,20
0,0,1,2,3,3,3,5,3.5,3,3,5,3,2,21
0,0,2,2,4,4,4,4,4,4,4,4,4,1,20
0,0,1,1,5,3,3,3,3.5,2,7,7,1,1,21
0,0,1,1,1,1,1,1,1,3,7,7,1,1,22
0,0,1,1,4,3,2,3,3,1,2,3,4,1,20
0,0,1,2,6,6,5,5,5.5,6,7,6,4,1,21
0,0,3,4,5,5,5,5,5,6,6,6,4,1,20
0,0,3,4,4,3,4,3,3.5,5,3,3,3,2,21
0,0,1,2,1,1,1,1,1,1,1,7,1,2,21
0,0,1,2,2,2,2,2,2,2,2,2,2,2,21
0,0,1,1,1,1,1,1,1,1,1,2,5,2,21
0,0,6,2,2,3,3,3,2.75,4,5,3,2,2,23
0,1,1,2,1,1,1,1,1,7,7,7,4,1,19
